0 0 0 0 0 3 0 0 0      -0.00006345456228678d0
0 0 0 0 0 2 1 0 0      -0.00007481502485033d0
1 0 0 0 0 0 2 0 0       0.00030226728066812d0
0 1 0 0 0 0 2 0 0      -0.00006886900734547d0
0 0 1 0 0 0 2 0 0      -0.00015568238169473d0
0 0 0 1 0 0 2 0 0       0.00000565744960551d0
0 0 0 0 1 0 2 0 0       0.00008183937503166d0
0 0 0 0 0 1 2 0 0      -0.00003885035192187d0
0 0 0 0 0 0 3 0 0      -0.00005576954349379d0
1 0 0 0 0 0 0 2 0       0.00035945688198235d0
0 1 0 0 0 0 0 2 0      -0.00013778357804347d0
0 0 1 0 0 0 0 2 0      -0.00005082591974454d0
0 0 0 1 0 0 0 2 0      -0.00001914420195368d0
0 0 0 0 1 0 0 2 0       0.00002066298037127d0
0 0 0 0 0 1 0 2 0      -0.00000101758153978d0
0 0 0 0 0 0 1 2 0       0.00000663706168485d0
1 0 0 0 0 0 0 0 2       0.00002979083866096d0
0 0 0 4 0 0 0 0 0       0.00001174775106003d0
0 0 0 2 2 0 0 0 0       0.00000321601329924d0
0 0 0 2 0 2 0 0 0       0.00000041196864577d0
0 0 0 2 0 0 2 0 0       0.00000425447804227d0
0 0 0 2 0 0 0 2 0      -0.00000353685523996d0
0 0 0 2 0 0 0 0 2       0.00000193074706336d0
0 0 0 0 0 0 0 2 2       0.00001699133354675d0
0 1 0 0 0 0 0 0 2      -0.00002316137086820d0
0 0 1 0 0 0 0 0 2      -0.00033252894063854d0
0 0 0 1 0 0 0 0 2      -0.00005959686510611d0
0 0 0 0 1 0 0 0 2      -0.00003769608032450d0
0 0 0 0 0 1 0 0 2      -0.00000738885700156d0
0 0 0 0 0 0 1 0 2       0.00000508031380683d0
1 1 1 0 0 0 0 0 0       0.00004929954743487d0
1 1 0 1 0 0 0 0 0       0.00000514865883562d0
1 1 0 0 1 0 0 0 0       0.00000676615785035d0
1 1 0 0 0 1 0 0 0      -0.00000770780046925d0
1 1 0 0 0 0 1 0 0      -0.00000520940997232d0
